INDEX,P_TARGET
989,1.99509
990,4.18206
992,2.69194
995,5.73608
996,1.10002
998,0.88666
1001,4.03923
1007,1.22944
1008,2.52053
1016,2.7386
1022,2.53378
1027,5.45154
1032,1.52586
1033,3.60512
1041,4.04299
1065,1.06143
1074,1.42187
1075,0.94821
1081,1.0669
1094,4.52396
1099,3.21888
1105,2.76993
1123,1.58736
1135,1.26393
1142,2.47066
1155,2.31783
1169,2.59956
1176,3.62802
1178,3.68543
1180,3.13116
1184,1.0221
1185,1.13249
1193,0.99612
1196,1.03561
1199,0.95011
1203,2.17662
1205,2.53174
1207,2.89012
1208,1.41625
1212,0.69296
1213,1.17154
1222,1.14507
1223,1.34372
1226,3.90725
1227,5.79318
1229,1.0611
1230,4.63436
1231,2.98931
1241,0.99968
1243,4.40037
1244,6.30073
1246,4.14726
1248,2.63049
1249,3.69387
1252,2.91662
1261,3.49548
1275,3.83408
1281,1.39697
1285,4.07159
1288,1.39611
1290,3.44693
1291,1.15108
1304,3.94993
1305,2.90154
1323,4.00845
1342,1.25902
1348,2.58471
1353,3.67538
1363,2.93854
1371,3.49423
1372,0.98766
1378,1.1228
1381,3.036
1382,4.21475
1393,4.07111
1394,5.67746
1398,5.91177
1404,3.43981
1405,3.36037
1419,1.27781
1421,2.78873
1426,1.07341
1431,1.23577
1435,2.87941
1437,1.49032
1438,1.4975
1442,0.76671
1464,1.00049
1471,3.23119
1473,4.12975
1476,3.10621
1478,2.41131
1479,3.99288
1487,5.57794
1492,3.94229
1496,3.30587
1497,1.23318
1515,3.10148
1519,1.19
1522,3.08742
1526,3.94061
1537,2.63399
1538,4.49957
1540,2.08686
1543,3.38895
1548,1.03688
1549,1.2716
1556,2.87622
1564,1.24375
1570,3.98659
1577,2.19331
1585,4.55986
1590,3.94482
1592,1.14376
1594,0.98504
1596,7.51001
1598,5.95427
1603,1.54861
1607,1.05437
1612,5.63398
1627,4.5609
1629,3.50528
1630,3.21274
1640,5.58428
1641,4.09699
1646,3.62198
1662,1.2252
1668,1.1633
1671,1.12298
1672,4.68948
1673,5.76448
1686,3.8302
1688,3.95113
1696,3.83094
1701,5.16528
1707,4.06418
1708,3.77391
1713,3.60866
1715,3.94122
1717,3.136
1721,3.17017
1724,2.83337
1725,3.24208
1730,3.72177
1731,4.15945
1734,3.66855
1740,3.50735
1748,2.90143
1749,3.41459
1750,5.78931
1763,2.97365
1768,4.93971
1773,2.33605
1777,1.60843
1778,0.8877
1780,3.32302
1782,0.91254
1784,4.61055
1786,3.34727
1787,4.42734
1792,1.08511
1800,2.98931
1801,2.97485
1803,2.654
1804,3.91419
1807,2.79255
1818,5.89716
1821,3.60914
1822,4.09548
1828,2.90811
1833,3.82513
1844,4.22221
1847,3.19369
1850,2.73375
1854,3.62517
1858,4.56185
1864,3.82346
1867,1.73044
1876,3.07025
1880,1.24102
1881,2.02233
1891,2.88552
1894,2.34841
1895,3.75912
1901,1.50881
1905,4.06718
1912,5.97986
1918,2.76271
1921,3.75811
1923,2.94942
1924,1.48085
1931,2.27718
1941,4.60804
1950,0.98405
1951,4.65477
1954,5.11178
1961,3.20302
1966,3.70214
1979,4.37848
1982,1.15781
1987,3.06959
1997,3.05328
2004,4.11732
2011,4.96518
2015,3.33361
2025,6.761
2033,1.099
2034,4.1066
2035,1.36717
2036,1.06778
2053,2.78061
2059,2.28131
2060,1.2631
2073,2.76303
2084,3.06271
2089,4.18878
2092,1.19595
2109,5.40868
2129,4.05437
2134,4.57133
2135,5.4398
2148,3.48255
2149,1.3148
2150,2.38432
2165,2.85439
2166,2.87588
2168,5.20573
2170,0.76792
2171,2.6421
2172,3.04822
2176,5.28112
2182,3.17044
2189,2.23731
2191,4.77735
2197,3.06454
2202,1.32935
2203,3.40323
2204,0.72211
2206,4.41007
2218,2.15303
2219,3.48907
2221,1.12939
2226,1.1791
2228,2.83522
2232,3.90738
2236,0.8753
2241,2.25392
2245,5.10378
2251,3.10157
2255,5.46447
2256,3.79209
2259,1.27476
2263,3.33041
2264,3.57554
2267,1.09677
2273,2.17078
2277,4.16261
2287,3.17035
2289,3.72919
2291,1.0848
2296,1.97425
2299,1.20229
2306,3.28774
2314,1.25473
2317,2.9665
2318,3.92608
2321,4.31808
2324,3.74987
2340,3.06007
2343,2.55842
2349,0.87197
2352,4.69704
2353,1.12091
2365,2.0997
2370,1.25761
2378,3.30383
2390,0.8783
2399,1.36779
2402,1.24479
2403,1.49559
2404,1.39174
2414,5.26185
2422,3.43826
2424,1.23599
2430,3.94137
2435,3.03351
2439,1.4761
2442,4.31237
2445,3.43985
2449,1.6521
2451,1.09099
2461,3.17458
2464,3.82863
2465,3.82969
2472,2.78723
2476,2.46207
2482,3.14839
2487,5.33214
2498,4.23298
2501,3.68686
2504,2.70531
2511,0.94617
2518,5.39277
2521,5.10318
2530,2.83785
2543,4.49297
2545,3.60121
2561,4.59631
2566,3.29294
2572,2.95597
2577,3.47079
2578,1.45474
2580,2.77412
2581,4.87402
2582,4.06277
2584,2.95084
2590,4.81849
2598,2.74922
2602,1.2272
2605,4.6584
2616,3.86762
2618,3.08153
2619,1.20936
2624,4.79702
2632,1.2727
2640,3.73634
2646,4.26339
2651,1.30125
2660,1.27023
2661,3.7675
2668,0.9533
2670,1.43107
2680,3.04868
2681,3.60348
2689,1.12101
2694,5.14782
2695,1.22879
2696,3.05059
2702,2.61323
2704,3.17734
2708,4.65426
2709,2.6048
2714,4.04093
2716,1.89037
2723,1.1984
2725,3.26503
2738,0.94877
2750,3.38035
2756,1.33006
2758,3.81318
2766,2.9062
2767,1.20736
2771,2.57546
2775,3.36692
2776,2.54328
2779,1.42752
2780,3.00595
2781,1.27602
2782,4.67512
2783,3.84719
2796,3.42567
2798,3.72624
2800,3.35562
2803,6.55969
2806,5.61916
2813,3.01567
2818,1.19381
2821,5.40408
2825,4.44108
2829,2.17568
2830,3.15165
2833,4.29051
2839,1.06406
2843,4.71098
2846,3.96565
2847,3.37947
2848,6.02018
2856,4.05113
2863,1.3323
2867,5.1908
2869,3.28435
2873,4.53472
2874,3.43356
2875,3.21888
2880,1.15698
2886,3.885
2887,3.31612
2888,2.43267
2889,2.36593
2890,1.68569
2892,1.18096
2901,3.25653
2902,1.94267
2905,2.09655
2917,2.07568
2922,2.65199
2924,3.83096
2930,1.68878
2931,4.8177
2946,1.11309
2955,3.73767
2962,2.91197
2964,1.07
2965,1.04901
2967,4.82137
2970,5.86805
2973,6.26366
2974,1.09
2976,1.31456
2977,1.33528
2978,0.97883
2986,5.03733
2988,5.38022
2989,1.52238
2995,3.69276
3005,4.49066
3011,4.13839
3013,3.07557
3019,3.23831
3021,2.33527
3022,5.03593
3029,0.98565
3037,3.18668
3042,2.47677
3043,3.84963
3049,3.68295
3050,6.55224
3053,1.01528
3058,1.20368
3062,1.44852
3063,3.98862
3065,1.72212
3080,2.73192
3088,1.45098
3093,1.12288
3096,5.31183
3101,5.53851
3103,0.98741
3107,5.88125
3109,4.46788
3111,5.90483
3113,4.47458
3116,4.61953
3132,3.21123
3141,5.25042
3153,1.21026
3154,1.23615
3160,1.33278
3167,1.55893
3170,3.06551
3173,2.41114
3174,4.13832
3177,4.94961
3179,3.37282
3184,0.83165
3190,2.54887
3193,3.91353
3199,4.24506
3201,1.11973
3202,3.1274
3203,3.26264
3206,2.89497
3209,2.95791
3210,2.41671
3217,4.33539
3220,4.1757
3228,2.59692
3232,3.15419
3239,1.07063
3243,3.32282
3245,2.99576
3246,3.5516
3251,5.05093
3253,5.02803
3257,3.40623
3260,1.1798
3261,4.01688
3263,5.07329
3278,3.8859
3281,3.48483
3283,5.40026
3290,2.24289
3297,3.27729
3304,2.98208
3305,3.28889
3307,4.54221
3308,3.49263
3313,3.02688
3314,2.7806
3317,1.46833
3348,1.35626
3350,2.51427
3359,3.95033
3367,3.38972
3376,3.0624
3378,3.10164
3384,1.28319
3386,2.8699
3387,4.04104
3388,2.82632
3390,4.30995
3391,1.16443
3396,0.51751
3398,3.86967
3404,5.7197
3406,1.6277
3407,3.87658
3414,4.08643
3419,3.20076
3423,2.51543
3427,3.53186
3432,0.85379
3434,2.78729
3438,1.03586
3442,0.98892
3443,1.28347
3448,0.91615
3456,3.2277
3464,5.92258
3470,1.20381
3475,3.4817
3477,3.88522
3490,2.67501
3493,3.39693
3502,3.27645
3508,4.41112
3516,1.16077
3517,4.06954
3525,2.95419
3532,3.0377
3535,3.73118
3536,4.59649
3540,3.15646
3547,3.03506
3550,3.43907
3557,2.27338
3562,1.00695
3563,3.04928
3564,1.03998
3570,3.19467
3573,3.0968
3577,2.98668
3579,3.25591
3581,0.91836
3587,3.37516
3602,3.9147
3609,3.25582
3612,3.48127
3621,3.29106
3642,1.64887
3647,1.23531
3649,3.02193
3654,2.52049
3660,4.42734
3665,4.90648
3669,3.00102
3673,3.63359
3675,1.35963
3678,3.72918
3680,3.44835
3686,5.10455
3693,4.42306
3710,2.68321
3713,3.86381
3718,4.81822
3725,3.57676
3726,3.3386
3747,2.5065
3753,1.17833
3754,5.72414
3760,4.93508
3763,2.43345
3765,3.97338
3769,5.1865
3771,3.30745
3784,2.97943
3787,3.7052
3794,1.229
3796,3.20376
3798,4.1595
3809,3.51605
3812,5.35461
3819,0.88658
3828,4.71961
3831,5.01658
3833,3.22505
3837,5.11545
3839,0.87843
3843,1.51884
3846,3.68982
3854,5.00063
3861,1.11488
3864,3.19677
3868,3.45202
3869,4.39728
3870,3.08982
3883,2.61262
3886,2.94801
3889,3.41672
3894,0.94649
3907,2.47013
3910,3.70421
3913,1.25982
3914,3.22285
3921,6.15948
3923,1.32183
3929,2.43356
3931,1.09686
3932,5.25929
3937,0.88437
3943,2.8508
3956,4.54026
3957,3.12276
3961,5.88196
3971,3.59155
4004,0.85301
4005,3.26322
4006,4.38569
4011,2.9611
4013,4.83763
4014,5.81861
4016,0.77875
4017,5.75693
4020,3.38003
4022,3.69084
4026,0.97717
4032,1.05434
4043,2.28078
4045,3.5961
4048,5.0682
4051,4.868
4052,3.62447
4056,2.75573
4059,1.96536
4069,4.86461
4074,3.99168
4076,2.82369
4077,1.15692
4079,1.91469
4081,3.73304
4088,1.32659
4105,3.56036
4125,3.54268
4134,3.14349
4139,2.18638
4146,2.37813
4149,4.42073
4151,0.97619
4155,2.98088
4157,2.83707
4168,5.30195
4170,2.32444
4174,2.56248
4179,5.30623
4185,3.81846
4199,0.84235
4205,1.18367
4208,3.23361
4211,2.44523
4212,0.61073
4215,3.43145
4217,3.12943
4219,1.38588
4226,4.1279
4227,3.26014
4229,1.14428
4231,2.23695
4233,1.22263
4237,2.83612
4243,3.98222
4248,4.67934
4255,5.05535
4262,2.76118
4266,1.04761
4268,1.47639
4270,2.30692
4273,1.64504
4276,3.77311
4277,3.50224
4279,2.38424
4299,4.15069
4313,1.51819
4322,4.63846
4324,1.29419
4328,2.66524
4331,2.90263
4335,1.94576
4337,3.36665
4338,1.04653
4343,1.85876
4347,1.95539
4355,3.62668
4357,2.45591
4359,6.07359
4362,2.4196
4368,2.70969
4374,4.90219
4375,5.11908
4378,3.49072
4381,1.54661
4387,4.04352
4400,2.36305
4423,3.54998
4424,2.93669
4428,4.17464
4433,6.63325
4436,1.17727
4437,1.32543
4439,6.33337
4449,3.58105
4456,3.22017
4463,5.40051
4467,2.50764
4468,1.4353
4469,2.66521
4472,3.7185
4473,4.45991
4476,3.02369
4500,2.48584
4509,3.88203
4513,2.28621
4521,1.18687
4527,2.83411
4530,1.91416
4532,3.10243
4533,2.70597
4535,2.76144
4536,3.8482
4542,3.17545
4551,2.75236
4554,3.65461
4555,2.1161
4564,1.15285
4572,2.20475
4573,6.4557
4577,1.09582
4579,6.00625
4583,3.04449
4584,6.37365
4596,3.18764
4599,4.13267
4607,3.69192
4609,0.72017
4610,1.24525
4616,2.09217
4617,3.02215
4633,4.61516
4638,3.52569
4641,2.94433
4653,6.71597
4655,4.12115
4659,1.44609
4669,1.00961
4678,1.15028
4685,3.92436
4686,3.43128
4691,1.07253
4695,4.35458
4698,3.52536
4700,5.64534
4711,3.31406
4722,4.27975
4727,3.75839
4756,6.34978
4762,1.07609
4763,3.02424
4766,4.19606
4770,1.03815
4784,3.55997
4791,3.15595
4795,4.96265
4799,1.12809
4802,4.15509
4805,3.37607
4814,4.35504
4816,1.15958
4817,3.88515
4822,3.42894
4827,2.73476
4833,4.85082
4836,1.37295
4842,3.09339
4844,3.11402
4845,2.98021
4849,4.17165
4850,1.28155
4860,4.2496
4863,2.55925
4871,3.57655
4878,3.12508
4881,2.76941
4888,4.06346
4900,5.67598
4906,3.48658
4909,1.5109
4916,4.34056
4918,5.4837
4926,3.19571
4928,2.62444
4941,2.69154
4946,4.77017
4949,1.31115
4956,2.94786
4966,4.207
4969,2.71634
4973,3.92001
4978,4.80731
4982,2.48427
4985,4.37924
4991,4.11435
4998,3.40419
5000,2.75004
5004,2.84625
5005,2.43712
5011,3.86334
5016,0.79436
5018,3.18767
5034,3.87349
5038,1.23252
5042,6.06937
5046,3.1331
5051,0.88312
5054,1.3034
5057,4.40495
5062,3.38214
5063,3.82754
5065,3.2247
5066,1.11297
5076,2.67661
5089,3.18265
5092,2.68854
5093,4.50272
5094,3.98091
5098,2.95031
5102,3.09149
5112,5.239
5117,2.6014
5127,2.97192
5130,2.74207
5131,2.19709
5132,3.5201
5135,1.29265
5136,2.79479
5147,4.45963
5157,3.83441
5160,2.16733
5165,0.97907
5166,1.32145
5172,2.71529
5173,2.74927
5179,1.11619
5184,5.18857
5187,2.41166
5191,3.46673
5193,1.08873
5194,1.33633
5199,2.29873
5212,1.2265
5213,2.97775
5224,3.40359
5226,3.00068
5239,4.66556
5252,4.20949
5264,0.94016
5266,2.60567
5271,4.26619
5273,3.88631
5276,3.21726
5278,4.07457
5281,2.21257
5283,3.17161
5291,1.39017
5294,5.61043
5296,3.46615
5297,1.15852
5313,3.53609
5314,2.89213
5321,2.94979
5325,3.12111
5326,1.25074
5328,3.55385
5334,2.98874
5338,0
5344,1.76628
5348,1.17006
5352,1.39973
5353,4.18348
5354,1.34708
5361,0.61355
5364,3.2443
5365,3.7351
5367,1.05648
5379,3.27075
5382,3.325
5386,4.79754
5395,3.81473
5410,3.92328
5411,3.28624
5416,4.63412
5424,4.17874
5426,2.8027
5428,1.27574
5430,5.54489
5433,1.24244
5437,3.08514
5440,3.94239
5442,4.54846
5445,3.07857
5449,3.65932
5452,3.65792
5460,0.97966
5461,2.31792
5465,1.10483
5467,4.1979
5471,3.8198
5474,1.34679
5475,3.1178
5480,1.1436
5481,3.40186
5484,1.30396
5494,5.43962
5495,1.31157
5497,1.16933
5499,3.00568
5507,1.3313
5510,3.19884
5515,1.25434
5516,2.04729
5517,1.01968
5524,3.94423
5530,5.19694
5534,2.95513
5543,1.15465
5545,3.01988
5558,3.23997
5562,1.48913
5573,6.93297
5581,4.03328
5583,5.76446
5587,3.83797
5589,2.00901
5591,4.49167
5596,2.912
5606,3.91579
5608,4.17587
5611,3.22802
5612,4.37618
5614,4.42981
5620,4.02466
5623,5.30489
5624,3.32059
5626,5.21972
5633,0.84912
5635,2.57475
5640,4.2477
5643,2.85308
5644,6.28876
5653,5.08052
5663,4.3398
5664,4.88475
5667,2.67628
5671,1.19316
5673,3.76479
5676,2.99565
5678,2.38223
5698,2.31507
5700,6.22709
5705,3.82218
5706,5.05914
5711,1.53632
5712,5.25699
5716,2.38363
5719,3.46747
5725,2.64933
5728,7.40945
5734,0.87861
5735,4.17202
5743,2.66655
5754,1.12332
5755,2.44861
5756,4.4082
5766,2.91497
5770,4.06452
5774,1.09711
5775,2.54296
5776,3.77224
5778,6.46981
5786,2.75224
5787,3.53412
5791,4.25353
5794,3.62079
5803,3.00771
5804,3.56643
5808,1.2451
5810,3.59714
5813,3.276
5828,3.57242
5839,6.42268
5842,3.89446
5843,1.89462
5844,3.39575
5847,2.93484
5851,2.53834
5854,3.51937
5857,1.23861
5866,1.04918
5874,1.35039
5886,3.1032
5895,1.97245
5897,2.8565
5898,2.71512
5900,1.54839
5902,1.40336
5908,0.91352
5909,3.16404
5912,6.73287
5913,1.18598
5917,5.10355
5918,3.02434
5921,3.1296
5931,1.0558
5942,4.13457
5943,3.13607
5950,3.90774
5954,0.9989
5983,3.02716
5995,3.21416
6002,2.49787
6005,3.75356
6009,5.68727
6011,3.0407
6012,4.86162
6019,1.09895
6021,3.24316
6029,4.99619
6036,3.50567
6037,3.13258
6038,0.93948
6043,2.00059
6045,3.53627
6047,1.05211
6048,2.86169
6061,3.87668
6063,3.10214
6064,4.97302
6068,4.37581
6069,1.21039
6070,3.4789
6071,5.17276
6074,4.43311
6079,3.51803
6082,3.00662
6088,4.51197
6094,2.57841
6095,1.35745
6098,2.80227
6102,3.67924
6105,1.45849
6113,4.56955
6116,2.90462
6120,1.4631
6121,2.58058
6126,2.80854
6144,2.80448
6145,3.63966
6153,2.68356
6156,3.51751
6159,4.09598
6162,1.53794
6184,2.63288
6188,2.90403
6189,3.32995
6191,2.26507
6211,1.37398
6216,3.32581
6218,1.01078
6222,1.14576
6235,3.04393
6245,1.01085
6248,3.21858
6253,3.10302
6256,1.04837
6257,3.47311
6259,0.81529
6266,4.54555
6268,3.18034
6275,0.88374
6280,3.56415
6283,2.61438
6288,5.49849
6289,2.3607
6301,4.52214
6308,3.36064
6314,3.65364
6315,0.70435
6316,3.84881
6317,2.89013
6318,2.99259
6323,3.74228
6329,4.59383
6336,1.02698
6341,4.6557
6348,3.56957
6349,4.42242
6365,1.24174
6372,3.06367
6376,2.84191
6378,1.17282
6379,4.11218
6382,0.99372
6383,3.04334
6389,4.61027
6390,1.72899
6392,5.37446
6394,1.38716
6402,1.37611
6404,4.43723
6405,2.86193
6406,1.14035
6409,4.1656
6410,4.66905
6411,3.77864
6421,3.63708
6428,6.50845
6429,2.44895
6432,3.97749
6436,1.05982
6437,3.42867
6438,1.49251
6445,2.99908
6447,4.16689
6450,3.86333
6462,3.71027
6467,3.73904
6478,3.81097
6484,4.21304
6492,3.91057
6497,6.11022
6504,3.36054
6505,1.03668
6513,2.73424
6525,5.37347
6526,4.53278
6528,2.89104
6540,1.35293
6542,1.41457
6544,4.83136
6548,3.7999
6552,3.23426
6558,3.85698
6567,2.51545
6569,4.66446
6572,5.31937
6577,5.20826
6581,3.14471
6588,2.99124
6591,1.34682
6594,2.78399
6600,6.03359
6602,3.5234
6604,2.93088
6605,3.40719
6614,2.31114
6616,1.01929
6621,1.27512
6640,5.65781
6641,2.97116
6643,2.27864
6644,1.04682
6649,2.55142
6650,3.38614
6655,6.155
6661,1.86232
6672,5.48464
6677,1.22823
6688,2.21902
6689,5.44218
6691,2.79504
6692,4.81674
6694,3.39496
6702,2.37428
6714,1.12275
6716,5.27997
6724,3.9748
6725,1.12848
6730,3.49728
6735,3.03722
6738,2.8775
6739,3.11904
6743,3.75063
6747,2.7162
6750,7.11769
6751,3.41415
6753,4.84364
6754,3.20723
6755,1.00301
6762,3.6321
6764,3.35978
6772,1.75451
6774,1.03355
6787,2.53522
6789,2.88214
6793,4.39564
6798,1.51391
6799,1.04813
6800,3.81002
6802,1.24174
6808,1.04891
6809,4.10594
6812,3.45882
6814,2.98951
6816,2.51201
6822,1.21094
6829,3.51742
6834,2.51038
6836,4.41853
6839,3.88102
6840,1.27386
6843,1.57352
6846,2.14162
6848,1.12436
6852,2.38956
6856,5.55845
6860,4.27932
6866,4.49507
6870,4.13062
6878,1.44535
6880,5.06335
6885,4.6093
6897,4.52125
6902,3.80605
6904,4.44739
6907,4.44374
6909,1.34074
6914,2.10444
6915,4.64743
6922,1.09123
6924,2.31585
6933,2.90694
6934,4.7207
6941,3.82277
6957,0
6960,2.67946
6969,0.87266
6975,2.72571
6980,1.17428
6983,1.09996
6987,2.56818
6994,2.87966
6997,4.15864
7002,3.56794
7010,2.25271
7015,3.25507
7019,3.11781
7022,3.70384
7025,2.64836
7029,4.82458
7031,2.67612
7037,2.46215
7038,3.05372
7043,1.03095
7049,3.6156
7052,3.25003
7053,4.24609
7056,3.31903
7057,4.2329
7080,1.28732
7086,1.18757
7087,3.14113
7105,3.58756
7108,2.53565
7121,0.91117
7122,2.32707
7125,1.37626
7132,3.71331
7134,3.21684
7151,2.73844
7152,3.65796
7157,3.35584
7159,1.26915
7166,1.37018
7167,1.2856
7177,3.04601
7179,1.14407
7181,1.64542
7183,4.54154
7186,3.76742
7193,5.92983
7205,3.24472
7207,1.45217
7209,3.88799
7216,1.45421
7232,1.63663
7235,1.23807
7238,2.50552
7240,2.51584
7243,1.03413
7252,2.45596
7269,2.58831
7275,3.60123
7281,2.38412
7283,0.9937
7287,6.25218
7289,5.52574
7291,4.39771
7294,1.87981
7304,5.65792
7308,3.69039
7313,2.76948
7319,1.2191
7325,1.07923
7326,2.64273
7330,5.23755
7332,3.90836
7337,1.08803
7341,0.96746
7346,3.46068
7353,0.92569
7354,4.14552
7361,1.2147
7366,1.25139
7368,5.52901
7372,3.42862
7375,2.84361
7377,5.79426
7380,1.71472
7382,4.35972
7385,2.96873
7392,2.44687
7395,4.05153
7397,3.3532
7403,3.35178
7406,3.54407
7409,0.79654
7410,3.60724
7412,3.88237
7419,3.10609
7425,3.13962
7435,7.3464
7438,3.62501
7440,3.65105
7447,3.3306
7449,2.52874
7456,4.32174
7464,3.74767
7478,2.76033
7480,3.19304
7481,5.17972
7483,2.76449
7484,1.21712
7491,4.04199
7494,2.32633
7501,2.52201
7503,3.77753
7509,2.56692
7517,1.28676
7518,6.5763
7519,2.12907
7521,5.61333
7522,2.99824
7536,3.59339
7539,1.01153
7547,5.71247
7549,3.34491
7552,2.76361
7554,1.15031
7556,2.88241
7564,3.58034
7566,1.23693
7570,4.56711
7571,3.22136
7572,3.39127
7575,2.19642
7586,2.37014
7589,4.76266
7590,2.6844
7597,3.61457
7602,4.10591
7604,4.2646
7605,3.06771
7612,1.98213
7615,4.25122
7617,2.90397
7624,3.47458
7632,4.50437
7639,3.24987
7642,3.2305
7643,3.12437
7649,3.2958
7650,1.12678
7653,4.27303
7654,3.60224
7657,4.89725
7662,1.01264
7669,3.69846
7671,2.56039
7675,1.24648
7678,4.5224
7682,4.31701
7688,1.13014
7689,1.16573
7690,4.88729
7692,2.70429
7699,1.50039
7705,3.48243
7712,3.333
7726,3.87165
7728,2.13232
7735,2.83247
7737,2.64452
7739,3.55779
7743,1.65522
7744,4.73963
7746,2.5337
7749,0.92036
7750,3.3114
7752,3.5642
7755,4.81774
7756,3.46341
7762,4.76138
7764,1.25556
7769,2.57877
7770,2.32649
7776,4.91526
7778,5.48656
7784,2.80954
7786,2.67253
7789,3.56963
7793,3.90719
7794,1.19234
7804,3.28297
7811,3.77436
7813,2.81175
7815,3.24812
7817,1.12108
7818,3.33977
7821,6.36475
7825,4.12942
7830,5.47632
7832,3.78679
7835,1.36401
7839,6.3113
7842,5.30499
7849,4.04258
7856,2.54068
7857,2.57883
7863,4.16559
7866,4.60968
7871,3.33959
7875,2.36499
7882,2.13582
7887,2.06785
7888,3.54733
7891,2.18328
7895,3.43845
7901,4.52029
7906,2.72326
7908,1.15758
7917,2.13772
7924,3.01419
7948,3.89026
7950,6.88102
7955,2.58021
7957,1.66453
7959,2.08662
7967,5.76471
7969,2.68876
7971,4.25364
7974,3.15338
7976,2.7123
7986,5.89718
7987,0.92229
7993,3.64427
7996,3.74334
7998,3.45862
8018,2.51788
8019,2.71047
8027,1.05939
8036,1.33907
8040,4.25111
8044,3.93672
8050,2.93678
8052,0.87813
8054,1.14726
8057,3.635
8058,4.7189
8059,2.91262
8066,3.24205
8070,5.94289
8072,5.80215
8078,2.96031
8079,3.31784
8080,3.98063
8081,4.46354
8088,1.18828
8091,2.559
8094,2.92806
8095,2.84041
8099,5.07518
8101,5.20825
8102,5.14794
8116,4.10651
8125,4.65017
8134,1.69353
8139,1.33072
8141,4.3389
8147,2.65635
8158,6.5088
8160,2.73206
8165,3.19994
8187,2.56996
8205,1.20589
8209,3.39085
8211,3.51349
8232,3.71602
8236,3.98418
8237,6.30023
8238,7.21845
8245,4.08389
8256,3.05441
8268,3.16953
8269,2.71916
8270,4.1039
8286,2.9453
8289,3.57778
8301,2.76712
8305,1.11462
8310,3.11314
8312,0.82545
8318,4.9411
8321,4.10679
8328,1.37752
8331,3.9577
8334,2.88703
8344,3.88312
8345,2.29912
8352,4.40052
8358,3.2391
8359,2.10282
8360,2.72293
8365,3.23413
8366,3.25147
8369,4.57283
8373,5.54608
8378,3.74322
8392,3.09566
8397,2.77994
8399,2.25196
8400,2.95259
8405,3.17553
8406,4.32607
8410,1.34222
8413,4.22119
8414,0.81958
8416,4.88201
8426,2.75003
8434,4.21174
8439,1.56575
8440,0.91405
8475,4.12272
8480,5.08294
8497,2.27181
8499,1.36006
8500,3.5722
8501,2.737
8502,2.5226
8518,5.27496
8520,3.60775
8523,4.31031
8525,0.997
8532,2.79811
8535,2.24101
8543,1.39945
8554,1.38602
8560,5.89105
8561,4.55402
8563,1.00531
8566,1.17471
8570,3.70146
8572,3.60785
8582,1.61662
8583,1.18936
8587,1.36335
8592,2.25678
8593,1.46806
8607,0.94523
8609,4.29257
8610,3.17334
8614,3.89609
8616,4.91432
8622,4.15773
8623,3.80778
8624,1.12183
